1211070;XY-OZH;;5200;26-09-2020;14:48:00;Maintenance
1224051;XY-OZH;;3170;21-08-2016;12:53:00;Maintenance
1225043;XY-OZH;HAM;3500;03-02-2016;1 day;Maintenance
1204071;XY-OZH;SZG;5230;13-02-2018;00:28:11.503409;Delay
1205018;XY-OZH;BJV;6720;16-06-2020;36 days 03:53:00;Safety
1205019;XY-OZH;BFS;5497;30-04-2016;2 days 03:56:00;Revision
165508;XY-OZH;TKU;3720;20-05-2021;10:48:18.897336;AircraftOnGround
1205012;XY-OZH;LTN;2540;25-04-2013;10:48:18.897336;AircraftOnGround
1208011;XY-OZH;AAL;5600;07-02-2015;27 days 23:04:00;Revision
1208013;XY-OZH;NUE;7740;07-08-2021;68 days 01:49:00;Safety
1207036;XY-OZH;VST;3456;28-05-2023;10:48:18.897336;AircraftOnGround
166403;XY-OZH;KGS;3431;03-09-2023;00:28:11.503409;Delay
1215011;XY-OZH;TZL;7250;11-05-2015;2 days 12:26:00;Revision
166609;XY-OZH;DLM;3424;27-03-2021;5 days 10:32:00;Safety
1215026;XY-OZH;IAS;5551;28-07-2017;10:48:18.897336;AircraftOnGround
1215039;XY-OZH;BTS;2540;10-06-2020;10:48:18.897336;AircraftOnGround
1215049;XY-OZH;ADB;2570;30-12-2015;10:48:18.897336;AircraftOnGround
1215064;XY-OZH;NOC;5301;26-09-2014;10:48:18.897336;AircraftOnGround
166702;XY-OZH;MPL;7700;25-11-2016;77 days 14:07:00;Safety
1217017;XY-OZH;AHO;2120;16-10-2018;2 days 07:54:00;Revision
1217018;XY-OZH;BTS;2161;18-10-2014;4 days 15:25:00;Safety
1220066;XY-OZH;LIN;3597;21-07-2023;00:28:11.503409;Delay
1220045;XY-OZH;RIX;7531;01-07-2021;10:48:18.897336;AircraftOnGround
1220053;XY-OZH;TRD;3244;04-07-2018;10:48:18.897336;AircraftOnGround
167103;XY-OZH;TBS;2170;13-11-2020;10:48:18.897336;AircraftOnGround
1222011;XY-OZH;NTE;2130;08-01-2019;31 days 00:43:00;Revision
1223069;XY-OZH;ODS;5300;19-02-2022;1 day 21:41:00;Revision
167404;XY-OZH;ORK;5521;26-10-2012;20 days 16:59:00;Revision
1224013;XY-OZH;LCA;8500;19-06-2019;23:24:00;Revision
1223026;XY-OZH;BMA;8197;09-11-2019;10:48:18.897336;AircraftOnGround
167406;XY-OZH;FAO;6440;31-07-2014;10:48:18.897336;AircraftOnGround
1224018;XY-OZH;WMI;3410;06-03-2017;10:48:18.897336;AircraftOnGround
1224054;XY-OZH;LBA;7412;04-06-2018;10:48:18.897336;AircraftOnGround
