896085;XY-IOO;05-01-2016;MAREP;2396;01-01-2016;true;A;advanced condition failed
134904;XY-OFW;04-01-2016;MAREP;4580;31-12-2015;true;A;advanced condition failed
896068;XY-ZWJ;29-11-2016;MAREP;7910;25-11-2016;true;A;advanced condition failed
904087;XY-NMY;15-03-2015;MAREP;5306;11-03-2015;true;A;advanced condition failed
904019;XY-NMY;06-09-2015;MAREP;1299;02-09-2015;true;A;advanced condition failed
904077;XY-NMY;03-08-2016;MAREP;2166;30-07-2016;true;A;advanced condition failed
906050;XY-NMY;02-01-2016;MAREP;8646;29-12-2015;true;A;advanced condition failed
904052;XY-ZDY;02-03-2015;MAREP;2089;26-02-2015;true;A;advanced condition failed
136102;XY-MBJ;11-07-2011;MAREP;2763;07-07-2011;true;A;advanced condition failed
910078;XY-OZH;02-09-2010;MAREP;6428;29-08-2010;true;A;advanced condition failed
912013;XY-MBJ;04-01-2016;MAREP;5162;31-12-2015;true;A;advanced condition failed
911048;XY-OZH;03-12-2012;MAREP;3888;29-11-2012;true;A;advanced condition failed
2710103;XY-ZWJ;31-01-2016;PIREP;6686;31-12-2015;true;C;advanced condition failed
915034;XY-ZDY;11-08-2016;MAREP;3040;31-07-2016;true;B;advanced condition failed
706096;XY-ZWJ;20-03-2015;PIREP;1070;16-03-2015;true;A;advanced condition failed
30442;XY-MBJ;07-03-2015;PIREP;5709;03-03-2015;true;A;advanced condition failed
933022;XY-OFW;13-01-2016;PIREP;8670;02-01-2016;true;B;advanced condition failed
929071;XY-YTM;27-03-2015;PIREP;3246;16-03-2015;true;B;advanced condition failed
898067;XY-IWX;08-03-2015;MAREP;9010;04-03-2015;true;A;advanced condition failed
932055;XY-IOO;14-03-2015;PIREP;4445;03-03-2015;true;B;advanced condition failed
136005;XY-OZH;05-01-2015;MAREP;4208;01-01-2015;true;A;advanced condition failed
698018;XY-IWX;07-03-2015;PIREP;2150;03-03-2015;true;A;advanced condition failed
1007092;XY-MBJ;06-01-2015;PIREP;7766;02-01-2015;true;A;advanced condition failed
5140106;XY-ZDY;14-09-2015;PIREP;9349;03-09-2015;true;B;advanced condition failed
849070;XY-NMY;14-03-2015;MAREP;1943;03-03-2015;true;B;advanced condition failed
35274;XY-IWX;14-01-2016;MAREP;5332;03-01-2016;true;B;advanced condition failed
680019;XY-MBJ;20-07-2011;PIREP;9940;09-07-2011;true;B;advanced condition failed
738020;XY-YTM;14-03-2015;MAREP;3914;03-03-2015;true;B;advanced condition failed
790030;XY-MBJ;17-03-2015;MAREP;9640;06-03-2015;true;B;advanced condition failed
903073;XY-IWX;15-03-2015;MAREP;7464;11-03-2015;true;A;advanced condition failed
700060;XY-ZWJ;07-03-2015;PIREP;7962;03-03-2015;true;A;advanced condition failed
897055;XY-YTM;11-03-2015;MAREP;8854;07-03-2015;true;A;advanced condition failed
6870;XY-ZWJ;23-03-2015;MAREP;6783;12-03-2015;true;B;advanced condition failed
711091;XY-MBJ;06-01-2016;PIREP;9467;02-01-2016;true;A;advanced condition failed
715062;XY-FBA;24-11-2016;PIREP;3786;20-11-2016;true;A;advanced condition failed
731029;XY-MBJ;10-03-2015;MAREP;3416;27-02-2015;true;B;advanced condition failed
900036;XY-MBJ;21-03-2015;MAREP;7196;17-03-2015;true;A;advanced condition failed
900035;XY-MBJ;05-03-2015;MAREP;1976;01-03-2015;true;A;advanced condition failed
900038;XY-MBJ;05-03-2015;MAREP;7891;01-03-2015;true;A;advanced condition failed
590033;XY-ZDY;14-10-2016;PIREP;9779;03-10-2016;true;B;advanced condition failed
697066;XY-ZDY;20-03-2015;PIREP;154;16-03-2015;true;A;advanced condition failed
125610;XY-IWX;29-01-2016;MAREP;3042;29-12-2015;true;C;advanced condition failed
907052;XY-NMY;20-03-2015;MAREP;7215;16-03-2015;true;A;advanced condition failed
828016;XY-NMY;13-03-2015;MAREP;1037;02-03-2015;true;B;advanced condition failed
814041;XY-OFW;16-03-2015;MAREP;5833;05-03-2015;true;B;advanced condition failed
828050;XY-IWX;06-08-2016;MAREP;7718;26-07-2016;true;B;advanced condition failed
918042;XY-NMY;27-03-2015;MAREP;5042;16-03-2015;true;B;advanced condition failed
713036;XY-OZH;26-03-2011;PIREP;892;22-03-2011;true;A;advanced condition failed
834053;XY-IWX;18-03-2015;MAREP;6582;07-03-2015;true;B;advanced condition failed
712086;XY-OZH;04-09-2010;PIREP;8738;31-08-2010;true;A;advanced condition failed
43228;XY-FBA;06-01-2015;PIREP;5880;02-01-2015;true;A;advanced condition failed
